brand,model,count,avg_price,min_price,max_price,min_year,max_year,avg_mileage
Jaecoo,J7,1,8000000.0,8000000,8000000,2023,2023,29205.0
Jaecoo,J7 Premium 4WD,1,11990000.0,11990000,11990000,2025,2025,
Jaguar,F-Type,1,20000000.0,20000000,20000000,2016,2016,90000.0
Jaguar,I-Pace,1,33000000.0,33000000,33000000,2021,2021,30000.0
Jaguar,XF,1,17500000.0,17500000,17500000,2017,2017,81000.0
Jaguar,XJ,1,12200000.0,12200000,12200000,2014,2014,131000.0
Jeep,Liberty,1,4300000.0,4300000,4300000,2002,2002,244748.0
Jeep,Renegade,1,13000000.0,13000000,13000000,2016,2016,218000.0
Jeep,Wagoneer,1,65000000.0,65000000,65000000,2022,2022,66000.0
Jeep,Wrangler Rubicon X,1,42900000.0,42900000,42900000,2026,2026,50.0
Jetour,Shanhai L7,1,14200000.0,14200000,14200000,2024,2024,11000.0
Jetour,T2,1,11980000.0,11980000,11980000,2024,2024,73722.0
Jetour,X50 Premium,1,7490000.0,7490000,7490000,2025,2025,
Jetour,X70,1,8490000.0,8490000,8490000,2025,2025,
Jetour,X70 Prestige,1,7990000.0,7990000,7990000,2026,2026,
Kaiyi,E5,1,7890000.0,7890000,7890000,2025,2025,20.0
Kaiyi,X3 Pro Luxe,1,6990000.0,6990000,6990000,2024,2024,19425.0
Kia,,1,9590000.0,9590000,9590000,2021,2021,18699.0
Kia,Carens,1,5900000.0,5900000,5900000,2014,2014,200000.0
Kia,Cee'd Luxe,1,9490000.0,9490000,9490000,2024,2024,33717.0
Kia,Cerato Luxe 1.6,1,10490000.0,10490000,10490000,2025,2025,
Kia,Cerato Luxe 2.0,1,9490000.0,9490000,9490000,2023,2023,30207.0
Kia,EV9,1,35990000.0,35990000,35990000,2026,2026,
Kia,K3,1,8490000.0,8490000,8490000,2023,2023,40000.0
Kia,K5 Premium,1,15790000.0,15790000,15790000,2026,2026,
Kia,K9,1,23000000.0,23000000,23000000,2022,2022,59000.0
Kia,Morning,1,4150000.0,4150000,4150000,2013,2013,117623.0
Kia,Ray,1,5950000.0,5950000,5950000,2021,2021,55000.0
Kia,Soluto,1,6990000.0,6990000,6990000,2026,2026,
Kia,Soluto Comfort,1,7290000.0,7290000,7290000,2026,2026,
Kia,Sorento Luxe,1,21090000.0,21090000,21090000,2026,2026,
Kia,Sportage Comfort,1,11790000.0,11790000,11790000,2025,2025,
Kia,Sportage Luxe 2.5,1,14600000.0,14600000,14600000,2025,2025,13504.0
Kia,Sportage X-Line+,1,16490000.0,16490000,16490000,2025,2025,
Kia,Stinger,1,16000000.0,16000000,16000000,2018,2018,
Kia,Telluride,1,24000000.0,24000000,24000000,2020,2020,108000.0
Kia,XCeed,1,11000000.0,11000000,11000000,2024,2024,33000.0
Lamborghini,Urus,1,143000000.0,143000000,143000000,2023,2023,
Land,Rover Discovery Sport,1,9900000.0,9900000,9900000,2015,2015,135000.0
Land,Rover Range Rover Sport Dynamic HSE,1,111398000.0,111398000,111398000,2026,2026,20.0
Lexus,ES 250 Luxury 2.5,1,28400000.0,28400000,28400000,2023,2023,38656.0
Lexus,GX 460,1,40000000.0,40000000,40000000,2023,2023,44000.0
Lexus,GX 550 Luxury,1,68590000.0,68590000,68590000,2025,2025,
Lexus,GX 550 Overtrail,1,66190000.0,66190000,66190000,2025,2025,
Lexus,IS 200,1,2100000.0,2100000,2100000,2001,2001,
Lexus,LX 600 Luxury,1,90990000.0,90990000,90990000,2026,2026,
Lexus,LX 600 Luxury+,1,93590000.0,93590000,93590000,2026,2026,
Lexus,NX 200 Executive,1,16500000.0,16500000,16500000,2019,2019,23006.0
Lexus,NX 300 Executive,1,14590000.0,14590000,14590000,2019,2019,108466.0
Lexus,RX 300 F Sport Design,1,25500000.0,25500000,25500000,2021,2021,62905.0
Lexus,RX 350 F Sport Design,1,35000000.0,35000000,35000000,2022,2022,19322.0
Lexus,RX 350 F Sport Performance+ SE,1,41000000.0,41000000,41000000,2026,2026,
Lexus,RX 350 F Sport+,1,47290000.0,47290000,47290000,2025,2025,
Lexus,RX 350h F Sport Design,1,37800000.0,37800000,37800000,2026,2026,
Lexus,RX 400h,1,5800000.0,5800000,5800000,2005,2005,485000.0
Lexus,RX 500h F Sport Performance+ SE,1,47000000.0,47000000,47000000,2026,2026,
Lexus,UX 200,1,11900000.0,11900000,11900000,2019,2019,99000.0
Lexus,UX 250h,1,14000000.0,14000000,14000000,2020,2020,56000.0
Li,L7 Max,1,27700000.0,27700000,27700000,2025,2025,
