2026-04-28 17:12:46,401 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/217612882
2026-04-28 17:12:46,541 | INFO | kolesa_playwright_parser | detail delay duration 4.0s before detail request
2026-04-28 17:12:50,596 | INFO | kolesa_playwright_parser | current brand Toyota; current listing URL https://kolesa.kz/a/show/217699134
2026-04-28 17:12:50,859 | INFO | kolesa_playwright_parser | HTTP status code 200 for https://kolesa.kz/a/show/217699134
2026-04-28 17:12:51,078 | INFO | car_database | committed listing to SQLite: 217699134
2026-04-28 17:12:51,087 | INFO | kolesa_playwright_parser | saved listing https://kolesa.kz/a/show/217699134 for brand Toyota; current brand progress: 2075/3500; current DB count: 11049
Toyota:   0%|          | 1/1426 [00:25<10:15:12, 25.90s/car]2026-04-28 17:12:51,088 | INFO | kolesa_playwright_parser | saved count this run: 1
2026-04-28 17:12:51,242 | INFO | kolesa_playwright_parser | detail delay duration 6.7s before detail request
2026-04-28 17:12:57,984 | INFO | kolesa_playwright_parser | current brand Toyota; current listing URL https://kolesa.kz/a/show/218400947
2026-04-28 17:12:58,397 | INFO | kolesa_playwright_parser | HTTP status code 200 for https://kolesa.kz/a/show/218400947
2026-04-28 17:12:58,650 | INFO | car_database | committed listing to SQLite: 218400947
2026-04-28 17:12:58,651 | INFO | kolesa_playwright_parser | saved listing https://kolesa.kz/a/show/218400947 for brand Toyota; current brand progress: 2076/3500; current DB count: 11050
Toyota:   0%|          | 2/1426 [00:33<5:58:44, 15.12s/car] 2026-04-28 17:12:58,652 | INFO | kolesa_playwright_parser | saved count this run: 2
2026-04-28 17:12:58,815 | INFO | kolesa_playwright_parser | detail delay duration 6.7s before detail request
2026-04-28 17:13:05,545 | INFO | kolesa_playwright_parser | current brand Toyota; current listing URL https://kolesa.kz/a/show/215358009
2026-04-28 17:13:06,106 | INFO | kolesa_playwright_parser | HTTP status code 200 for https://kolesa.kz/a/show/215358009
2026-04-28 17:13:06,407 | INFO | car_database | committed listing to SQLite: 215358009
2026-04-28 17:13:06,408 | INFO | kolesa_playwright_parser | saved listing https://kolesa.kz/a/show/215358009 for brand Toyota; current brand progress: 2077/3500; current DB count: 11051
Toyota:   0%|          | 3/1426 [00:41<4:38:48, 11.76s/car]2026-04-28 17:13:06,409 | INFO | kolesa_playwright_parser | saved count this run: 3
2026-04-28 17:13:06,410 | INFO | kolesa_playwright_parser | skipped wrong brand from card before detail request https://kolesa.kz/a/show/218396653; brand_guess=Changan target=Toyota title=Changan CS75 Plus за 10 300 000 \u20b8 Алматы, 2025 г., новый кроссовер, 1.5 л, бензин…
2026-04-28 17:13:06,411 | INFO | kolesa_playwright_parser | skipped wrong brand from card before detail request https://kolesa.kz/a/show/218154783; brand_guess=Hyundai target=Toyota title=Hyundai Elantra за 8 150 000 \u20b8 Караганда, 2023 г., Б/у седан, 1.6 л, бензин…
2026-04-28 17:13:06,412 | INFO | kolesa_playwright_parser | skipped wrong brand from card before detail request https://kolesa.kz/a/show/217979665; brand_guess=Daewoo target=Toyota title=Daewoo Nexia за 1 730 000 \u20b8 Кызылорда, 2013 г., Б/у седан, 1.5 л, бензин…
2026-04-28 17:13:06,412 | INFO | kolesa_playwright_parser | brand page summary: brand=Toyota page=61 total_links_found=33 unique_main_card_links=30 duplicates_on_page=22 wrong_brand_on_page=4 detail_pages_opened=4 saved_on_page=3 wrong_brand_after_detail=1
2026-04-28 17:13:06,587 | INFO | kolesa_playwright_parser | current brand Toyota; current brand page number 62; current brand URL: https://kolesa.kz/cars/toyota/?page=62
2026-04-28 17:13:06,588 | INFO | kolesa_playwright_parser | current brand progress: Toyota 2077/3500 remaining=1423
2026-04-28 17:13:06,588 | INFO | kolesa_playwright_parser | normal search page delay duration 15.6s before search request
2026-04-28 17:13:22,773 | INFO | kolesa_playwright_parser | HTTP status code 200 for https://kolesa.kz/cars/toyota/?page=62
2026-04-28 17:13:24,072 | INFO | kolesa_playwright_parser | detail delay duration 3.5s before detail request
2026-04-28 17:13:27,572 | INFO | kolesa_playwright_parser | current brand Toyota; current listing URL https://kolesa.kz/a/show/218426931
2026-04-28 17:13:28,092 | INFO | kolesa_playwright_parser | HTTP status code 200 for https://kolesa.kz/a/show/218426931
2026-04-28 17:13:28,285 | INFO | kolesa_playwright_parser | visible challenge phrase found, but normal detail listing markers are visible; continuing; url=https://kolesa.kz/a/show/218426931 title='Продажа Toyota Rush 2022 года в Атырау - №218426931: цена 9890000\u20b8. Купить Toyota Rush — Колёса' phrase=капча
2026-04-28 17:13:28,485 | INFO | car_database | committed listing to SQLite: 218426931
2026-04-28 17:13:28,486 | INFO | kolesa_playwright_parser | saved listing https://kolesa.kz/a/show/218426931 for brand Toyota; current brand progress: 2078/3500; current DB count: 11052
Toyota:   0%|          | 4/1426 [01:03<6:15:11, 15.83s/car]2026-04-28 17:13:28,488 | INFO | kolesa_playwright_parser | saved count this run: 4
2026-04-28 17:13:28,489 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/190853912
2026-04-28 17:13:28,689 | INFO | kolesa_playwright_parser | detail delay duration 4.5s before detail request
2026-04-28 17:13:33,202 | INFO | kolesa_playwright_parser | current brand Toyota; current listing URL https://kolesa.kz/a/show/217095355
2026-04-28 17:13:33,580 | INFO | kolesa_playwright_parser | HTTP status code 200 for https://kolesa.kz/a/show/217095355
2026-04-28 17:13:33,952 | INFO | car_database | committed listing to SQLite: 217095355
2026-04-28 17:13:33,954 | INFO | kolesa_playwright_parser | saved listing https://kolesa.kz/a/show/217095355 for brand Toyota; current brand progress: 2079/3500; current DB count: 11053
Toyota:   0%|          | 5/1426 [01:08<4:46:25, 12.09s/car]2026-04-28 17:13:33,956 | INFO | kolesa_playwright_parser | saved count this run: 5
2026-04-28 17:13:33,958 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218234205
2026-04-28 17:13:33,960 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218416058
2026-04-28 17:13:34,180 | INFO | kolesa_playwright_parser | detail delay duration 4.3s before detail request
2026-04-28 17:13:38,528 | INFO | kolesa_playwright_parser | current brand Toyota; current listing URL https://kolesa.kz/a/show/218407394
2026-04-28 17:13:38,987 | INFO | kolesa_playwright_parser | HTTP status code 200 for https://kolesa.kz/a/show/218407394
2026-04-28 17:13:39,345 | INFO | car_database | committed listing to SQLite: 218407394
2026-04-28 17:13:39,347 | INFO | kolesa_playwright_parser | saved listing https://kolesa.kz/a/show/218407394 for brand Toyota; current brand progress: 2080/3500; current DB count: 11054
Toyota:   0%|          | 6/1426 [01:14<3:52:17,  9.82s/car]2026-04-28 17:13:39,348 | INFO | kolesa_playwright_parser | saved count this run: 6
2026-04-28 17:13:39,350 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/217802622
2026-04-28 17:13:39,560 | INFO | kolesa_playwright_parser | detail delay duration 4.0s before detail request
2026-04-28 17:13:43,543 | INFO | kolesa_playwright_parser | current brand Toyota; current listing URL https://kolesa.kz/a/show/217791971
2026-04-28 17:13:44,068 | INFO | kolesa_playwright_parser | HTTP status code 200 for https://kolesa.kz/a/show/217791971
2026-04-28 17:13:44,483 | INFO | car_database | committed listing to SQLite: 217791971
2026-04-28 17:13:44,486 | INFO | kolesa_playwright_parser | saved listing https://kolesa.kz/a/show/217791971 for brand Toyota; current brand progress: 2081/3500; current DB count: 11055
Toyota:   0%|          | 7/1426 [01:19<3:15:58,  8.29s/car]2026-04-28 17:13:44,488 | INFO | kolesa_playwright_parser | saved count this run: 7
2026-04-28 17:13:44,745 | INFO | kolesa_playwright_parser | detail delay duration 5.0s before detail request
2026-04-28 17:13:49,709 | INFO | kolesa_playwright_parser | current brand Toyota; current listing URL https://kolesa.kz/a/show/217776804
2026-04-28 17:13:50,141 | INFO | kolesa_playwright_parser | HTTP status code 200 for https://kolesa.kz/a/show/217776804
2026-04-28 17:13:50,521 | INFO | car_database | committed listing to SQLite: 217776804
2026-04-28 17:13:50,523 | INFO | kolesa_playwright_parser | saved listing https://kolesa.kz/a/show/217776804 for brand Toyota; current brand progress: 2082/3500; current DB count: 11056
Toyota:   1%|          | 8/1426 [01:25<2:58:54,  7.57s/car]2026-04-28 17:13:50,524 | INFO | kolesa_playwright_parser | saved count this run: 8
2026-04-28 17:13:50,526 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/217764481
2026-04-28 17:13:50,528 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/217731975
2026-04-28 17:13:50,711 | INFO | kolesa_playwright_parser | detail delay duration 3.3s before detail request
2026-04-28 17:13:53,993 | INFO | kolesa_playwright_parser | current brand Toyota; current listing URL https://kolesa.kz/a/show/218206939
2026-04-28 17:13:54,460 | INFO | kolesa_playwright_parser | HTTP status code 200 for https://kolesa.kz/a/show/218206939
2026-04-28 17:13:54,697 | INFO | car_database | committed listing to SQLite: 218206939
2026-04-28 17:13:54,698 | INFO | kolesa_playwright_parser | saved listing https://kolesa.kz/a/show/218206939 for brand Toyota; current brand progress: 2083/3500; current DB count: 11057
Toyota:   1%|          | 9/1426 [01:29<2:33:43,  6.51s/car]2026-04-28 17:13:54,699 | INFO | kolesa_playwright_parser | saved count this run: 9
2026-04-28 17:13:54,700 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218381101
2026-04-28 17:13:54,701 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218445252
2026-04-28 17:13:54,853 | INFO | kolesa_playwright_parser | detail delay duration 6.9s before detail request
2026-04-28 17:14:01,760 | INFO | kolesa_playwright_parser | current brand Toyota; current listing URL https://kolesa.kz/a/show/214661989
2026-04-28 17:14:02,144 | INFO | kolesa_playwright_parser | HTTP status code 200 for https://kolesa.kz/a/show/214661989
2026-04-28 17:14:02,428 | INFO | car_database | committed listing to SQLite: 214661989
2026-04-28 17:14:02,430 | INFO | kolesa_playwright_parser | saved listing https://kolesa.kz/a/show/214661989 for brand Toyota; current brand progress: 2084/3500; current DB count: 11058
Toyota:   1%|          | 10/1426 [01:37<2:42:31,  6.89s/car]2026-04-28 17:14:02,431 | INFO | kolesa_playwright_parser | saved count this run: 10
2026-04-28 17:14:02,432 | INFO | kolesa_playwright_parser | current DB count: 11058
2026-04-28 17:14:02,564 | INFO | kolesa_playwright_parser | progress checkpoint: saved this run=10; current Toyota count=2084; total DB count=11058
Toyota:   1%|          | 10/1426 [01:37<3:50:50,  9.78s/car]
Traceback (most recent call last):
  File "C:\Users\chebupel777\OneDrive\Рабочий стол\KolesaParser\main.py", line 515, in <module>
    main()
    ~~~~^^
  File "C:\Users\chebupel777\OneDrive\Рабочий стол\KolesaParser\main.py", line 491, in main
    asyncio.run(run_collect_brands(args, db))
    ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3568.0_x64__qbz5n2kfra8p0\Lib\asyncio\runners.py", line 195, in run
    return runner.run(main)
           ~~~~~~~~~~^^^^^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3568.0_x64__qbz5n2kfra8p0\Lib\asyncio\runners.py", line 118, in run
    return self._loop.run_until_complete(task)
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3568.0_x64__qbz5n2kfra8p0\Lib\asyncio\base_events.py", line 725, in run_until_complete
    return future.result()
           ~~~~~~~~~~~~~^^
  File "C:\Users\chebupel777\OneDrive\Рабочий стол\KolesaParser\main.py", line 325, in run_collect_brands
